P06	2	1	hej hej
P06	1	2	tja!
P06	2	3	okej!
P06	1	4	byracka
P06	2	5	framför Katie står två muggar, precis i hörnet
P06	2	6	du kan va en byracka
P06	2	7	men ååååh skynda lite
P06	1	8	chilla
P06	2	9	gul längst ner till vänster, sen en vit ovanför
P06	2	10	näe
P06	2	11	tyst!!
P06	1	12	har du katies perspektiv?
P06	2	13	nej, Katie står till vänster om mig
P06	2	14	jag ser dig mitt emot
P06	1	15	och till höger om mig
P06	2	16	ah! 
P06	2	17	vems perspektiv ska vi utgå ifrån?
P06	1	18	ta Katies
P06	2	19	oj okej
P06	1	20	eller det blir konstigt kanske
P06	2	21	på Katies högra nedre sida står en gul mugg
P06	2	22	nej vi testar!
P06	1	23	japp
P06	2	24	lite till vänster om den står en vit
P06	1	25	ja som har en annan form och till vänster i hörnet en röd
P06	2	26	jag har ingen röd! och den vita har samma form
P06	2	27	jag ritar in en röd först
P06	1	28	humm okej 
P06	2	29	yani har du ingen mugg eller...
P06	1	30	den röda har öra och sitter i Ks högra hörne
P06	2	31	vänta, nyss sa du vänster?
P06	1	32	framför K finns det en blå mugg
P06	1	33	oj jag menade vänster
P06	1	34	sorry'
P06	2	35	puh!
P06	1	36	hehehe
P06	2	37	okej så de närmast Katie är från vänster till höger: röd blå vit gul?
P06	2	38	likadana muggar
P06	2	39	med öron
P06	1	40	ja från ks vänster blir det röd, blå, vit och gul i höger hörne där bordet slutar
P06	2	41	yes! men sa du att den vita har annan form?
P06	1	42	"ja den har lixom ett ""lock"" på sig "
P06	1	43	typ som en kopp som man tar med sig
P06	2	44	ah! det står en sån bortanför den vanliga vita
P06	1	45	Aaaaa!
P06	2	46	okej, då får du rita in en vanlig vit närmare Katie, precis till höger om den gula
P06	1	47	inåt för K
P06	1	48	fixat
P06	2	49	spelar det roll vilket håll öronen pekar?
P06	1	50	hur sk vi veta det 
P06	2	51	ja men för oss hallå
P06	1	52	jo vi får gå igenom alla 
P06	1	53	näää
P06	2	54	då hoppar vi över öronen
P06	2	55	okej, fortsätter längs kanten på vänster sida?
P06	1	56	vems perspektiv?
P06	2	57	Katies
P06	1	58	okej på kates vänstra sida innåt framför dig finns det en röd mugg
P06	1	59	ditt höger
P06	1	60	nej vänster
P06	2	61	va??
P06	1	62	hahaha
P06	2	63	okej närmast mig då
P06	2	64	längst från dig, och Katies högra sida
P06	1	65	japp snätt åt vänster framför dig
P06	1	66	ditt vänster dvs
P06	2	67	röd, sen vit med lock, sen vit med öra i mitt nedre högra hörn
P06	1	68	vi tar ditt perspektiv nu tycker jag, OKEJ!
P06	2	69	OKEJ
P06	1	70	;)
P06	2	71	jag har bra perspektiv
P06	1	72	klart du har
P06	2	73	så det jag skrev nyss är från mitt vänstra till mitt högra, närmast mig
P06	1	74	vänta
P06	1	75	framför dig till vänster fins en röd mugg med öra till vänster om den finns den gula
P06	2	76	nej det går inte att scrolla upp... bredvid den gula i vänstra hörnet (som vi pratat om innan), en röd, sen en hämtmugg som är vit, och sen en vanlig vit mugg i mitt högra hörn
P06	2	77	ja!
P06	1	78	ok hämtmuggen saknas
P06	1	79	til höger om den röda?
P06	2	80	den är lite närmare den röda än den vita, och lite längre bak
P06	2	81	ja
P06	1	82	japp 
P06	1	83	har du en vit med öra i ditt högra hörne
P06	1	84	?
P06	1	85	0
P06	2	86	yes
P06	1	87	göööööt
P06	2	88	hah
P06	2	89	sen, din sida?
P06	1	90	okaj!
P06	2	91	på din högra har du den röda som jag ritade in
P06	1	92	japp
P06	2	93	sen ser jag vit, blå, röd
P06	1	94	ja
P06	1	95	0
P06	1	96	med öron
P06	2	97	jupp
P06	1	98	fan va fint asså
P06	2	99	vi är grymma
P06	1	100	fet med bra
P06	2	101	tror du det går att göra karriär såhär...
P06	1	102	japp
P06	1	103	vi är typ redan klara hahaha
P06	2	104	okej den bortre sidan, min högra och din vänstra
P06	2	105	några kvar!!
P06	1	106	okej framför minn vita som typ är rakt framför mig har jag en vit hämtmugg
P06	2	107	det har inte jag!
P06	1	108	VA!!!!
P06	2	109	fan vad du samlar på dig hämtmuggar
P06	2	110	en bit hitåt din vita mugg har jag en vit vanlig mugg
P06	1	111	vad ska jag säga det är sådan jag ´är
P06	2	112	lite till (ditt) höger liksom
P06	1	113	japp mellan dem lite till vänster (mitt vänster) har jag en hämtmugg
P06	2	114	okej jag ritar in en hämtmugg där emellan
P06	2	115	done
P06	1	116	bra!
P06	1	117	bra
