P05	1	1	hur många muggar har du på ditt bord?
P05	2	2	Femton.
P05	1	3	samma här
P05	1	4	två take-away
P05	2	5	Just det. Med lock.
P05	1	6	årecis
P05	1	7	precis
P05	2	8	Kan vi utgå ifrån att de inte har några handtag?
P05	1	9	tror det ja
P05	1	10	båda mina take-away är vita
P05	2	11	Samma här. Helvita.
P05	1	12	sen är det fyra röda, tre blå, två gula och fyra vita muggar med öron
P05	2	13	Hmm. Jag ser tre röda och fem vita.
P05	1	14	fem vita med öron?
P05	2	15	Ja.
P05	1	16	okej
P05	2	17	Ska vi börja från din ända av bordet?
P05	1	18	ja
P05	1	19	jag har en rak linje med fyra muggar med öron
P05	1	20	från mitt vänster till höger: röd, blå, vit och röd
P05	2	21	Jag ser bara tre muggar längs med din kant. Röd, blå och vit.
P05	2	22	Från din vänster till höger.
P05	1	23	okej
P05	1	24	då fattas det nog en röd mugg längst till mitt höger
P05	1	25	den är lite längre ut på kanten än de andra
P05	2	26	Nej. Ser ingen. :-)
P05	1	27	okej, då har vi hittat en där :)
P05	2	28	Japp. Vilket håll är handtaget vridet åt på den fjärde?
P05	2	29	Vilken färg har handtaget?
P05	1	30	in mot mitten, så från mitt håll snett åt vänster
P05	1	31	handtaget är vitt med rött i mitten
P05	1	32	lite mer rakt åt vänster än mot mitten
P05	1	33	mitten av bordet alltså
P05	2	34	Ok. Min tecknarförmåga är begränsad så det får bli som det blir. :-)
P05	1	35	det blir säkert bra!
P05	1	36	okej, nästa rad mot mitten
P05	1	37	från mitt håll står det en take-away bakom den vita muggen
P05	1	38	snett vänster om
P05	2	39	Ok. Här det en vanlig vit mugg strax till höger om den vita närmast dig.
P05	2	40	Till höger och innåt bordet då.
P05	1	41	höger för dig eller mig?
P05	2	42	För dig.
P05	1	43	okej, den ser jag
P05	1	44	men mellan de två, men till mitt vänster, finns en take-away
P05	2	45	Inte vad jag kan se.
P05	1	46	okej
P05	2	47	Alltså mellan de två vita vanliga muggarna fast lite till vänster om den första?
P05	1	48	ja precis, vänster från mitt håll, det är typ zig-zag 
P05	2	49	Ok. Då försöker jag rita in den på mitt papper.
P05	1	50	bra! :)
P05	2	51	Ok. Inga direkt till sidan om den?
P05	1	52	nej
P05	1	53	har du?
P05	2	54	Nej.
P05	1	55	okej!
P05	1	56	men du ser den vita muggen med öra
P05	2	57	Just det. Den har i linjen med sig en röd mugg på din vänsterkant och en blå mugg på din högerkant.
P05	1	58	precis
P05	1	59	men jag har en gul mugg längst ut till vänster också
P05	1	60	den röda och gula är längre mot dig 
P05	1	61	närmre ditt håll
P05	2	62	Ok. Den röda är ungefär i linje med den vita och den blå. Sen har jag som du skriver en gul mugg på din vänsterkant. Men den är närmare mig än de andra tre.
P05	1	63	okej, då är nog den gula samma för oss båda
P05	1	64	jag har en röd som är i linje med den röda, fast den röda är nämre mitten
P05	2	65	Ok. Det verkar jag sakna.
P05	1	66	men du har bara en röd? 
P05	1	67	bredvid den gula
P05	2	68	Ja. Det är en lucka där din andra röda verkar vara.
P05	1	69	okej
P05	1	70	den röda jag ser har örat rakt mot dig
P05	2	71	Ok.
P05	1	72	var är den röda du ser?
P05	1	73	vilket håll är örat?
P05	2	74	Ute på din vänsterkant. STrax innanför den röda från första raden.
P05	1	75	innanför som in mot mitten av bordet?
P05	2	76	Innanför som i närmare mig.
P05	1	77	är den mellan den röda från första raden och den gula?
P05	2	78	Men nästa lika nära vänsterkanten (din).
P05	1	79	okej
P05	1	80	är den i en rak linje mellan den röda och den gula?
P05	2	81	Inte helt. Den gula är närmare vänsterkanten med en halv mugglängd ungefär.
P05	1	82	okej
P05	1	83	är den i mitten av de två eller närmre den gula?
P05	2	84	I mitten. Möjligen lite närmare den röda.
P05	1	85	okej
P05	1	86	vilket håll är handtaget?
P05	2	87	Mot dig. Jag ser dem inte alls.
P05	1	88	okej, jag ritar in den
P05	1	89	sådär!
P05	2	90	Gött!
P05	2	91	Ska vi se. Sedan har jag fem muggar som är något så när i linje med varandra. Med start från din vänster har jag först den gula vi precis skrivit om. Sedan en blå, en vit, en takeaway och en vit.
P05	1	92	okej
P05	1	93	jag ser en blå, vit och take-away i en linje
P05	1	94	den gula är längre fram för mig
P05	2	95	Längre fram? Närmare mig alltså?
P05	1	96	närmre mig, sorry
P05	2	97	Ok. Då verkar det stämma.
P05	1	98	den har handtaget rakt mot den där katie
P05	2	99	Just det.
P05	2	100	Men då ser du ingen vit mugg längst ut till din höger?
P05	1	101	men jag ser inte den vita muggen efter take-away
P05	1	102	nej precis
P05	1	103	hur långt ut mot kanten är den?
P05	2	104	En halv mugglängd ifrån ungefär. Handtaget pekar mot Katie.
P05	1	105	okej
P05	1	106	är den i en rak linje från take-away eller är den närmre mig eller dig?
P05	2	107	Något närmare mig än takeawayn.
P05	1	108	okej
P05	1	109	klar!
P05	1	110	efter den raden vi gjorde nu ser jag tre muggar som är på din kant, en gul en röd och en blå
